yyyy-mm-dd,Daily Adjusted Snowfall [mm]
1974-09-02,0.00
1974-09-03,0.21T
1974-09-04,0.00
1974-09-05,0.00
1974-09-06,0.00
1974-09-07,0.00
1974-09-08,0.00
1974-09-09,0.00
1974-09-10,0.00
1974-09-11,0.00
1974-09-12,0.00
1974-09-13,0.00
1974-09-14,0.00
1974-09-15,0.00
1974-09-16,0.00
1974-09-17,0.00
1974-09-18,0.00
1974-09-19,0.00
1974-09-20,0.00
1974-09-21,0.21T
1974-09-22,0.21T
1974-09-23,0.21T
1974-09-24,0.00
1974-09-25,0.00
1974-09-26,0.00
1974-09-27,0.00
1974-09-28,0.21T
1974-09-29,0.21T
1974-09-30,0.21T
1974-09-31,-9999.99M
1974-10-01,0.34
1974-10-02,0.90
1974-10-03,0.21T
1974-10-04,0.21T
1974-10-05,0.00
1974-10-06,0.00
1974-10-07,0.21T
1974-10-08,2.58
1974-10-09,0.56
1974-10-10,0.21T
1974-10-11,0.21T
1974-10-12,0.00
1974-10-13,0.00
1974-10-14,0.00
1974-10-15,0.56
1974-10-16,0.21T
1974-10-17,0.00
1974-10-18,0.00
1974-10-19,0.21T
1974-10-20,0.00
1974-10-21,0.56
1974-10-22,0.21T
1974-10-23,0.00
1974-10-24,0.00
1974-10-25,0.00
1974-10-26,9.07
1974-10-27,2.58
1974-10-28,1.12
1974-10-29,0.56
1974-10-30,0.00
1974-10-31,2.58
1974-11-01,0.56
1974-11-02,0.21T
1974-11-03,0.21T
1974-11-04,1.68
1974-11-05,0.00
1974-11-06,0.00
1974-11-07,0.00
1974-11-08,0.00
1974-11-09,0.00
1974-11-10,0.00
1974-11-11,0.00
1974-11-12,0.00
1974-11-13,0.00
1974-11-14,0.00
1974-11-15,0.21T
1974-11-16,1.12
1974-11-17,0.21T
1974-11-18,0.00
1974-11-19,0.21T
1974-11-20,0.34
1974-11-21,0.21T
1974-11-22,0.00
1974-11-23,0.00
1974-11-24,0.00
1974-11-25,0.00
1974-11-26,0.00
1974-11-27,0.00
1974-11-28,1.12
1974-11-29,1.12
1974-11-30,0.21T
1974-11-31,-9999.99M
1974-12-01,0.21T
1974-12-02,0.00
1974-12-03,0.00
1974-12-04,0.34
1974-12-05,0.56
1974-12-06,0.21T
1974-12-07,0.21T
1974-12-08,0.00
1974-12-09,0.00
1974-12-10,0.21T
1974-12-11,0.00
1974-12-12,0.34
1974-12-13,0.21T
1974-12-14,0.00
1974-12-15,0.34
1974-12-16,0.21T
1974-12-17,0.00
1974-12-18,0.21T
1974-12-19,0.00
1974-12-20,0.00
1974-12-21,0.00
1974-12-22,0.00
1974-12-23,0.21T
1974-12-24,0.21T
1974-12-25,0.56
1974-12-26,0.00
1974-12-27,0.21T
1974-12-28,0.21T
1974-12-29,0.00
1974-12-30,0.00
1974-12-31,0.21T
1975-01-01,0.21T
1975-01-02,0.00
1975-01-03,0.00
1975-01-04,0.00
1975-01-05,0.00
1975-01-06,0.00
1975-01-07,0.21T
1975-01-08,0.21T
1975-01-09,0.21T
1975-01-10,0.21T
1975-01-11,0.00
1975-01-12,0.00
1975-01-13,0.00
1975-01-14,0.00
1975-01-15,0.00
1975-01-16,0.00
1975-01-17,0.00
1975-01-18,0.00
1975-01-19,0.00
1975-01-20,0.00
1975-01-21,0.21T
1975-01-22,0.21T
1975-01-23,0.00
1975-01-24,0.00
1975-01-25,0.00
1975-01-26,0.00
1975-01-27,0.00
1975-01-28,0.21T
1975-01-29,2.02
1975-01-30,0.00
1975-01-31,0.00
1975-02-01,0.00
1975-02-02,0.00
1975-02-03,0.00
1975-02-04,0.21T
1975-02-05,0.21T
1975-02-06,2.58
1975-02-07,0.21T
1975-02-08,0.00
1975-02-09,0.00
1975-02-10,0.00
1975-02-11,0.00
1975-02-12,0.00
1975-02-13,0.00
1975-02-14,0.00
1975-02-15,0.00
1975-02-16,0.00
1975-02-17,0.00
1975-02-18,0.56
1975-02-19,3.36
1975-02-20,1.68
1975-02-21,0.00
1975-02-22,0.00
1975-02-23,0.21T
1975-02-24,0.21T
1975-02-25,0.00
1975-02-26,0.00
1975-02-27,0.00
1975-02-28,0.00
1975-02-29,-9999.99M
1975-02-30,-9999.99M
1975-02-31,-9999.99M
1975-03-01,0.00
1975-03-02,0.00
1975-03-03,0.00
1975-03-04,0.00
1975-03-05,0.21T
1975-03-06,1.46
1975-03-07,0.00
1975-03-08,0.00
1975-03-09,0.00
1975-03-10,0.21T
1975-03-11,0.00
1975-03-12,0.21T
1975-03-13,0.00
1975-03-14,0.00
1975-03-15,0.00
1975-03-16,0.00
1975-03-17,0.00
1975-03-18,0.00
1975-03-19,0.00
1975-03-20,0.00
1975-03-21,0.00
1975-03-22,0.00
1975-03-23,0.21T
1975-03-24,0.21T
1975-03-25,0.00
1975-03-26,0.00
1975-03-27,0.00
1975-03-28,0.00
1975-03-29,0.00
1975-03-30,0.00
1975-03-31,0.00
1975-04-01,0.00
1975-04-02,0.00
1975-04-03,0.00
1975-04-04,0.00
1975-04-05,0.00
1975-04-06,0.00
1975-04-07,0.00
1975-04-08,0.00
1975-04-09,0.21T
1975-04-10,0.00
1975-04-11,0.21T
1975-04-12,0.56
1975-04-13,0.00
1975-04-14,0.00
1975-04-15,0.00
1975-04-16,0.21T
1975-04-17,3.70
1975-04-18,0.56
1975-04-19,0.00
1975-04-20,0.00
1975-04-21,0.00
1975-04-22,0.00
1975-04-23,0.21T
1975-04-24,0.21T
1975-04-25,0.00
1975-04-26,0.00
1975-04-27,0.00
1975-04-28,0.00
1975-04-29,0.21T
1975-04-30,0.00
1975-04-31,-9999.99M
1975-05-01,0.21T
1975-05-02,0.21T
1975-05-03,0.00
1975-05-04,0.00
1975-05-05,0.21T
1975-05-06,0.21T
1975-05-07,0.90
1975-05-08,0.00
1975-05-09,0.00
1975-05-10,0.00
1975-05-11,0.00
1975-05-12,0.00
1975-05-13,0.00
1975-05-14,0.00
1975-05-15,0.00
1975-05-16,0.00
1975-05-17,0.00
1975-05-18,0.21T
1975-05-19,0.00
1975-05-20,0.21T
1975-05-21,0.00
1975-05-22,0.21T
1975-05-23,0.00
1975-05-24,0.00
1975-05-25,0.00
1975-05-26,0.00
1975-05-27,0.00
1975-05-28,0.00
1975-05-29,0.00
1975-05-30,0.00
1975-05-31,0.21T
1975-06-01,0.00
1975-06-02,0.00
1975-06-03,0.00
1975-06-04,0.00
1975-06-05,0.00
1975-06-06,0.21T
1975-06-07,0.00
1975-06-08,0.21T
1975-06-09,0.21T
1975-06-10,-9999.99M
1975-06-11,0.00
1975-06-12,0.00
1975-06-13,0.00
1975-06-14,0.00
1975-06-15,0.00
1975-06-16,0.00
1975-06-17,0.00
1975-06-18,0.00
1975-06-19,0.00
1975-06-20,0.00
1975-06-21,0.00
1975-06-22,0.00
1975-06-23,0.00
1975-06-24,0.00
1975-06-25,0.00
1975-06-26,0.00
1975-06-27,0.00
1975-06-28,0.00
1975-06-29,0.00
1975-06-30,0.00
1975-06-31,-9999.99M
1975-07-01,0.00
1975-07-02,0.00
1975-07-03,0.00
1975-07-04,0.00
1975-07-05,0.00
1975-07-06,0.00
1975-07-07,0.00
1975-07-08,0.00
1975-07-09,0.00
1975-07-10,0.00
1975-07-11,0.00
1975-07-12,0.00
1975-07-13,0.00
1975-07-14,0.00
1975-07-15,0.00
1975-07-16,0.00
1975-07-17,0.00
1975-07-18,0.00
1975-07-19,0.00
1975-07-20,0.00
1975-07-21,0.00
1975-07-22,0.00
1975-07-23,0.00
1975-07-24,0.00
1975-07-25,0.00
1975-07-26,0.00
1975-07-27,0.21T
1975-07-28,0.00
1975-07-29,0.00
1975-07-30,0.00
1975-07-31,0.00
1975-08-01,0.00
1975-08-02,0.00
1975-08-03,0.00
1975-08-04,0.00
1975-08-05,0.00
1975-08-06,1.68
1975-08-07,0.00
1975-08-08,0.00
1975-08-09,0.00
1975-08-10,0.90
1975-08-11,0.00
1975-08-12,0.00
1975-08-13,0.00
1975-08-14,0.00
1975-08-15,0.00
1975-08-16,0.00
1975-08-17,0.00
1975-08-18,0.00
1975-08-19,0.00
1975-08-20,0.00
1975-08-21,0.00
1975-08-22,0.00
1975-08-23,0.00
1975-08-24,0.00
1975-08-25,0.00
1975-08-26,0.00
1975-08-27,0.00
1975-08-28,0.00
1975-08-29,0.00
1975-08-30,0.00
1975-08-31,0.21T
1975-09-01,0.00
1975-09-02,0.00
1975-09-03,0.00
1975-09-04,0.90
1975-09-05,3.70
1975-09-06,4.59
1975-09-07,3.14
1975-09-08,0.00
1975-09-09,0.00
1975-09-10,0.00
1975-09-11,0.00
1975-09-12,0.00
1975-09-13,0.00
1975-09-14,0.00
1975-09-15,0.00
1975-09-16,0.00
1975-09-17,0.00
1975-09-18,0.00
1975-09-19,0.00
1975-09-20,0.56
1975-09-21,0.00
1975-09-22,0.00
1975-09-23,0.21T
1975-09-24,0.21T
1975-09-25,0.21T
1975-09-26,0.21T
1975-09-27,0.00
1975-09-28,0.00
1975-09-29,0.00
1975-09-30,0.00
1975-09-31,-9999.99M
1975-10-01,0.21T
1975-10-02,0.00
1975-10-03,0.00
1975-10-04,0.21T
1975-10-05,0.21T
1975-10-06,0.21T
1975-10-07,0.00
1975-10-08,0.21T
1975-10-09,0.21T
1975-10-10,0.21T
1975-10-11,0.00
1975-10-12,0.00
1975-10-13,0.00
1975-10-14,0.21T
1975-10-15,0.00
1975-10-16,0.21T
1975-10-17,0.21T
1975-10-18,0.00
1975-10-19,0.21T
1975-10-20,0.00
1975-10-21,0.21T
1975-10-22,0.00
1975-10-23,0.00
1975-10-24,0.21T
1975-10-25,0.21T
1975-10-26,0.00
1975-10-27,0.00
1975-10-28,0.00
1975-10-29,1.12
1975-10-30,0.00
1975-10-31,0.00
1975-11-01,0.00
1975-11-02,0.00
1975-11-03,0.00
1975-11-04,0.00
1975-11-05,0.00
1975-11-06,0.00
1975-11-07,0.00
1975-11-08,0.00
1975-11-09,0.00
1975-11-10,0.00
1975-11-11,0.00
1975-11-12,0.00
1975-11-13,0.00
1975-11-14,0.00
1975-11-15,3.36
1975-11-16,0.00
1975-11-17,0.21T
1975-11-18,0.21T
1975-11-19,0.00
1975-11-20,0.00
1975-11-21,0.00
1975-11-22,0.00
1975-11-23,0.00
1975-11-24,0.00
1975-11-25,0.00
1975-11-26,2.02
1975-11-27,0.00
1975-11-28,0.00
1975-11-29,0.21T
1975-11-30,0.00
1975-11-31,-9999.99M
1975-12-01,0.00
1975-12-02,0.00
1975-12-03,0.00
1975-12-04,0.00
1975-12-05,0.00
1975-12-06,0.21T
1975-12-07,0.00
1975-12-08,0.00
1975-12-09,0.00
1975-12-10,0.00
1975-12-11,0.21T
1975-12-12,0.00
1975-12-13,0.21T
1975-12-14,0.00
1975-12-15,0.00
1975-12-16,0.00
1975-12-17,1.12
1975-12-18,0.56
1975-12-19,0.00
1975-12-20,0.00
1975-12-21,0.21T
1975-12-22,0.00
1975-12-23,0.00
1975-12-24,0.00
1975-12-25,0.21T
1975-12-26,0.90
1975-12-27,0.56
1975-12-28,0.21T
1975-12-29,0.56
1975-12-30,0.34
1975-12-31,0.00
1976-01-01,0.00
1976-01-02,0.00
1976-01-03,0.00
1976-01-04,0.00
1976-01-05,0.00
1976-01-06,0.00
1976-01-07,0.00
1976-01-08,0.00
1976-01-09,0.34
1976-01-10,0.21T
1976-01-11,0.00
1976-01-12,0.34
1976-01-13,0.21T
1976-01-14,0.00
1976-01-15,0.00
1976-01-16,0.00
1976-01-17,0.00
1976-01-18,1.68
1976-01-19,2.58
1976-01-20,0.90
1976-01-21,2.58
1976-01-22,2.02
1976-01-23,0.90
1976-01-24,0.00
1976-01-25,0.00
1976-01-26,0.00
1976-01-27,0.00
1976-01-28,0.00
1976-01-29,0.00
1976-01-30,0.00
1976-01-31,0.90
1976-02-01,0.90
1976-02-02,0.34
1976-02-03,0.00
1976-02-04,0.00
1976-02-05,0.00
1976-02-06,0.00
1976-02-07,0.00
1976-02-08,0.00
1976-02-09,0.21T
1976-02-10,0.34
1976-02-11,0.21T
1976-02-12,0.34
1976-02-13,0.56
1976-02-14,0.00
1976-02-15,0.00
1976-02-16,0.21T
1976-02-17,0.21T
1976-02-18,0.21T
1976-02-19,0.00
1976-02-20,0.00
1976-02-21,0.21T
1976-02-22,0.21T
1976-02-23,0.34
1976-02-24,0.00
1976-02-25,0.00
1976-02-26,0.00
1976-02-27,1.46
1976-02-28,0.90
1976-02-29,0.00
1976-02-30,-9999.99M
1976-02-31,-9999.99M
1976-03-01,0.00
1976-03-02,0.00
1976-03-03,0.00
1976-03-04,0.56
1976-03-05,0.34
1976-03-06,0.00
1976-03-07,1.12
1976-03-08,4.03
1976-03-09,0.00
1976-03-10,0.34
1976-03-11,0.34
1976-03-12,0.21T
1976-03-13,0.00
1976-03-14,0.00
1976-03-15,0.34
1976-03-16,0.00
1976-03-17,0.00
1976-03-18,0.00
1976-03-19,0.00
1976-03-20,0.00
1976-03-21,0.00
1976-03-22,0.00
1976-03-23,0.00
1976-03-24,0.34
1976-03-25,0.00
1976-03-26,0.00
1976-03-27,0.00
1976-03-28,0.00
1976-03-29,0.00
1976-03-30,0.00
1976-03-31,0.00
1976-04-01,0.00
1976-04-02,0.00
1976-04-03,0.21T
1976-04-04,0.21T
1976-04-05,0.00
1976-04-06,0.00
1976-04-07,0.90
1976-04-08,0.00
1976-04-09,0.00
1976-04-10,0.00
1976-04-11,0.00
1976-04-12,0.00
1976-04-13,0.00
1976-04-14,0.00
1976-04-15,0.90
1976-04-16,0.00
1976-04-17,0.00
1976-04-18,0.90
1976-04-19,1.12
1976-04-20,0.21T
1976-04-21,0.00
1976-04-22,0.00
1976-04-23,0.21T
1976-04-24,0.90
1976-04-25,0.00
1976-04-26,0.00
1976-04-27,0.00
1976-04-28,0.00
1976-04-29,0.00
1976-04-30,0.00
1976-04-31,-9999.99M
1976-05-01,0.00
1976-05-02,0.00
1976-05-03,0.00
1976-05-04,0.00
1976-05-05,0.00
1976-05-06,0.21T
1976-05-07,0.21T
1976-05-08,0.21T
1976-05-09,0.21T
1976-05-10,0.21T
1976-05-11,0.21T
1976-05-12,0.21T
1976-05-13,0.21T
1976-05-14,0.21T
1976-05-15,0.00
1976-05-16,0.00
1976-05-17,0.21T
1976-05-18,0.21T
1976-05-19,0.56
1976-05-20,0.34
1976-05-21,0.00
1976-05-22,0.00
1976-05-23,0.21T
1976-05-24,0.00
1976-05-25,0.00
1976-05-26,0.00
1976-05-27,0.34
1976-05-28,0.00
1976-05-29,0.90
1976-05-30,0.21T
1976-05-31,0.00
1976-06-01,0.00
1976-06-02,0.00
1976-06-03,0.00
1976-06-04,0.00
1976-06-05,0.00
1976-06-06,0.00
1976-06-07,0.21T
1976-06-08,0.00
1976-06-09,0.00
1976-06-10,0.00
1976-06-11,0.00
1976-06-12,0.00
1976-06-13,0.00
1976-06-14,0.00
1976-06-15,0.00
1976-06-16,0.00
1976-06-17,0.00
1976-06-18,0.00
1976-06-19,0.00
1976-06-20,0.00
1976-06-21,0.00
1976-06-22,0.00
1976-06-23,0.00
1976-06-24,0.00
1976-06-25,0.00
1976-06-26,0.00
1976-06-27,0.21T
1976-06-28,0.21T
1976-06-29,0.00
1976-06-30,0.00
1976-06-31,-9999.99M
1976-07-01,0.00
1976-07-02,0.00
1976-07-03,0.00
1976-07-04,0.00
1976-07-05,0.00
1976-07-06,0.00
1976-07-07,17.02
1976-07-08,0.00
1976-07-09,0.00
1976-07-10,0.00
1976-07-11,0.00
1976-07-12,0.00
1976-07-13,0.00
1976-07-14,0.00
1976-07-15,0.00
1976-07-16,0.00
1976-07-17,0.00
1976-07-18,0.00
1976-07-19,0.00
1976-07-20,0.00
1976-07-21,0.00
1976-07-22,0.00
1976-07-23,0.00
1976-07-24,0.00
1976-07-25,0.00
1976-07-26,0.00
1976-07-27,0.00
1976-07-28,0.00
1976-07-29,0.00
1976-07-30,0.00
1976-07-31,0.00
1976-08-01,0.00
1976-08-02,0.00
1976-08-03,0.00
1976-08-04,0.00
1976-08-05,0.00
1976-08-06,0.00
1976-08-07,0.00
1976-08-08,0.00
1976-08-09,0.00
1976-08-10,0.00
1976-08-11,0.00
1976-08-12,0.00
1976-08-13,0.00
1976-08-14,0.00
1976-08-15,0.00
1976-08-16,0.00
1976-08-17,0.00
1976-08-18,0.00
1976-08-19,0.00
1976-08-20,0.00
1976-08-21,0.00
1976-08-22,0.00
1976-08-23,0.00
1976-08-24,0.00
1976-08-25,0.00
1976-08-26,0.00
1976-08-27,0.00
1976-08-28,0.00
1976-08-29,0.00
1976-08-30,0.00
1976-08-31,0.00
1976-09-01,0.00
1976-09-02,0.00
1976-09-03,0.00
1976-09-04,0.00
1976-09-05,0.00
1976-09-06,0.00
1976-09-07,0.00
1976-09-08,0.00
1976-09-09,0.00
1976-09-10,0.00
1976-09-11,0.00
1976-09-12,0.00
1976-09-13,0.00
1976-09-14,0.00
1976-09-15,0.00
1976-09-16,0.00
1976-09-17,0.21T
1976-09-18,0.21T
1976-09-19,0.00
1976-09-20,0.00
1976-09-21,0.00
1976-09-22,0.00
1976-09-23,0.00
1976-09-24,0.00
1976-09-25,0.00
1976-09-26,0.00
1976-09-27,0.00
1976-09-28,0.00
1976-09-29,3.14
1976-09-30,0.21T
1976-09-31,-9999.99M
1976-10-01,0.56
1976-10-02,0.34
1976-10-03,0.00
1976-10-04,0.00
1976-10-05,0.00
1976-10-06,0.00
1976-10-07,0.90
1976-10-08,3.70
1976-10-09,0.00
1976-10-10,0.34
1976-10-11,0.00
1976-10-12,0.00
1976-10-13,0.00
1976-10-14,0.00
1976-10-15,0.00
1976-10-16,0.00
1976-10-17,0.00
1976-10-18,0.21T
1976-10-19,0.00
1976-10-20,0.00
1976-10-21,0.00
1976-10-22,0.00
1976-10-23,4.59
1976-10-24,1.46
1976-10-25,1.46
1976-10-26,2.80
1976-10-27,4.03
1976-10-28,0.00
1976-10-29,0.00
1976-10-30,0.21T
1976-10-31,1.68
1976-11-01,0.34
1976-11-02,0.21T
1976-11-03,0.00
1976-11-04,0.21T
1976-11-05,0.21T
1976-11-06,0.00
1976-11-07,0.00
1976-11-08,0.00
1976-11-09,0.00
1976-11-10,0.00
1976-11-11,0.00
1976-11-12,0.00
1976-11-13,0.00
1976-11-14,0.21T
1976-11-15,0.21T
1976-11-16,0.00
1976-11-17,2.58
1976-11-18,4.26
1976-11-19,0.21T
1976-11-20,0.00
1976-11-21,0.00
1976-11-22,0.00
1976-11-23,0.21T
1976-11-24,0.21T
1976-11-25,0.21T
1976-11-26,0.34
1976-11-27,0.21T
1976-11-28,0.21T
1976-11-29,0.21T
1976-11-30,2.58
1976-11-31,-9999.99M
1976-12-01,0.21T
1976-12-02,0.21T
1976-12-03,0.00
1976-12-04,0.00
1976-12-05,0.00
1976-12-06,0.21T
1976-12-07,0.21T
1976-12-08,0.21T
1976-12-09,0.21T
1976-12-10,0.00
1976-12-11,0.00
1976-12-12,0.00
1976-12-13,0.56
1976-12-14,0.21T
1976-12-15,0.00
1976-12-16,0.21T
1976-12-17,0.00
1976-12-18,0.00
1976-12-19,0.21T
1976-12-20,0.21T
1976-12-21,0.00
1976-12-22,0.00
1976-12-23,0.21T
1976-12-24,0.00
1976-12-25,0.00
1976-12-26,0.34
1976-12-27,0.21T
1976-12-28,0.00
1976-12-29,0.00
1976-12-30,0.00
1976-12-31,0.00
1977-01-01,0.00
1977-01-02,0.21T
1977-01-03,0.45
1977-01-04,0.00
1977-01-05,0.21T
1977-01-06,0.21T
1977-01-07,0.00
1977-01-08,0.00
1977-01-09,0.21T
1977-01-10,0.21T
1977-01-11,0.00
1977-01-12,1.12
1977-01-13,1.12
1977-01-14,0.00
1977-01-15,0.00
1977-01-16,0.00
1977-01-17,0.00
1977-01-18,0.00
1977-01-19,0.00
1977-01-20,0.21T
1977-01-21,0.21T
1977-01-22,0.21T
1977-01-23,0.21T
1977-01-24,0.00
1977-01-25,2.69
1977-01-26,0.21T
1977-01-27,0.21T
1977-01-28,0.21T
1977-01-29,0.45
1977-01-30,0.00
1977-01-31,0.00
1977-02-01,0.00
1977-02-02,0.21T
1977-02-03,0.21T
1977-02-04,0.21T
1977-02-05,0.21T
1977-02-06,0.21T
1977-02-07,0.00
1977-02-08,0.00
1977-02-09,0.21T
1977-02-10,0.21T
1977-02-11,0.90
1977-02-12,0.00
1977-02-13,0.00
1977-02-14,0.21T
1977-02-15,0.00
1977-02-16,2.91
1977-02-17,0.21T
1977-02-18,0.00
1977-02-19,0.00
1977-02-20,0.00
1977-02-21,0.90
1977-02-22,2.24
1977-02-23,0.21T
1977-02-24,0.00
1977-02-25,0.00
1977-02-26,0.00
1977-02-27,0.21T
1977-02-28,0.22
1977-02-29,-9999.99M
1977-02-30,-9999.99M
1977-02-31,-9999.99M
1977-03-01,0.00
1977-03-02,0.21T
1977-03-03,0.21T
1977-03-04,0.45
1977-03-05,0.90
1977-03-06,0.21T
1977-03-07,0.21T
1977-03-08,0.34
1977-03-09,0.21T
1977-03-10,0.00
1977-03-11,0.21T
1977-03-12,0.21T
1977-03-13,0.00
1977-03-14,0.00
1977-03-15,0.00
1977-03-16,0.21T
1977-03-17,0.22
1977-03-18,0.00
1977-03-19,0.00
1977-03-20,0.00
1977-03-21,0.00
1977-03-22,0.21T
1977-03-23,0.21T
1977-03-24,0.00
1977-03-25,0.00
1977-03-26,0.00
1977-03-27,0.00
1977-03-28,0.00
1977-03-29,0.00
1977-03-30,0.00
1977-03-31,0.00
1977-04-01,0.00
1977-04-02,0.00
1977-04-03,0.90
1977-04-04,0.22
1977-04-05,0.21T
1977-04-06,0.00
1977-04-07,0.00
1977-04-08,0.00
1977-04-09,0.00
1977-04-10,0.00
1977-04-11,0.00
1977-04-12,0.00
1977-04-13,0.00
1977-04-14,4.48
1977-04-15,0.00
1977-04-16,0.00
1977-04-17,0.00
1977-04-18,0.00
1977-04-19,0.00
1977-04-20,0.00
1977-04-21,0.00
1977-04-22,0.21T
1977-04-23,0.00
1977-04-24,0.00
1977-04-25,0.00
1977-04-26,0.21T
1977-04-27,0.00
1977-04-28,0.00
1977-04-29,0.00
1977-04-30,0.00
1977-04-31,-9999.99M
1977-05-01,0.00
1977-05-02,0.21T
1977-05-03,0.21T
1977-05-04,0.00
1977-05-05,0.00
1977-05-06,0.00
1977-05-07,0.00
1977-05-08,0.00
1977-05-09,0.00
1977-05-10,0.00
1977-05-11,0.21T
1977-05-12,0.00
1977-05-13,0.00
1977-05-14,0.00
1977-05-15,0.00
1977-05-16,0.21T
1977-05-17,0.00
1977-05-18,0.00
1977-05-19,0.00
1977-05-20,0.21T
1977-05-21,0.21T
1977-05-22,0.00
1977-05-23,0.00
1977-05-24,0.22
1977-05-25,0.00
1977-05-26,0.21T
1977-05-27,0.67
1977-05-28,0.00
1977-05-29,0.00
1977-05-30,0.00
1977-05-31,0.00
1977-06-01,0.00
1977-06-02,0.00
1977-06-03,0.00
1977-06-04,0.00
1977-06-05,0.00
1977-06-06,0.00
1977-06-07,0.00
1977-06-08,0.00
1977-06-09,0.00
1977-06-10,0.00
1977-06-11,0.00
1977-06-12,0.00
1977-06-13,0.00
1977-06-14,0.00
1977-06-15,0.00
1977-06-16,0.00
1977-06-17,0.00
1977-06-18,0.00
1977-06-19,0.00
1977-06-20,0.00
1977-06-21,0.00
1977-06-22,0.21T
1977-06-23,0.00
1977-06-24,0.00
1977-06-25,0.21T
1977-06-26,0.00
1977-06-27,0.00
1977-06-28,0.00
1977-06-29,0.45
1977-06-30,0.00
1977-06-31,-9999.99M
1977-07-01,0.00
1977-07-02,0.56
1977-07-03,0.00
1977-07-04,0.00
1977-07-05,0.00
1977-07-06,0.00
1977-07-07,0.00
1977-07-08,0.00
1977-07-09,0.00
1977-07-10,0.00
1977-07-11,0.00
1977-07-12,0.00
1977-07-13,-9999.99M
1977-07-14,-9999.99M
1977-07-15,-9999.99M
1977-07-16,0.00
1977-07-17,0.00
1977-07-18,0.00
1977-07-19,0.00
1977-07-20,0.00
1977-07-21,0.00
1977-07-22,0.00
1977-07-23,0.00
1977-07-24,0.00
1977-07-25,0.00
1977-07-26,0.00
1977-07-27,0.00
1977-07-28,0.00
1977-07-29,0.00
1977-07-30,0.00
1977-07-31,0.00
1977-08-01,0.00
1977-08-02,0.00
1977-08-03,0.00
1977-08-04,0.00
1977-08-05,0.00
1977-08-06,0.00
1977-08-07,0.00
1977-08-08,0.00
1977-08-09,0.00
1977-08-10,0.00
1977-08-11,0.00
1977-08-12,0.00
1977-08-13,0.00
1977-08-14,0.00
1977-08-15,0.00
1977-08-16,0.00
1977-08-17,0.00
1977-08-18,0.00
1977-08-19,0.00
1977-08-20,0.00
1977-08-21,0.00
1977-08-22,0.00
1977-08-23,0.00
1977-08-24,0.00
1977-08-25,0.00
1977-08-26,0.00
1977-08-27,0.00
1977-08-28,0.21T
1977-08-29,0.00
1977-08-30,0.00
1977-08-31,0.00
1977-09-01,0.00
1977-09-02,0.00
1977-09-03,0.00
1977-09-04,0.00
1977-09-05,0.00
1977-09-06,0.00
1977-09-07,0.00
1977-09-08,0.00
1977-09-09,0.00
1977-09-10,0.00
1977-09-11,0.00
1977-09-12,0.21T
1977-09-13,3.02
1977-09-14,0.00
1977-09-15,0.00
1977-09-16,0.00
1977-09-17,0.00
1977-09-18,0.00
1977-09-19,0.00
1977-09-20,0.00
1977-09-21,0.21T
1977-09-22,0.00
1977-09-23,0.00
1977-09-24,0.00
1977-09-25,0.00
1977-09-26,0.00
1977-09-27,0.00
1977-09-28,0.00
1977-09-29,4.48
1977-09-30,2.24
1977-09-31,-9999.99M
1977-10-01,0.00
1977-10-02,0.00
1977-10-03,0.00
1977-10-04,0.00
1977-10-05,0.00
1977-10-06,0.00
1977-10-07,0.00
1977-10-08,0.00
1977-10-09,0.21T
1977-10-10,0.21T
1977-10-11,0.21T
1977-10-12,2.02
1977-10-13,7.84
1977-10-14,1.57
1977-10-15,3.70
1977-10-16,3.36
1977-10-17,0.21T
1977-10-18,0.00
1977-10-19,0.00
1977-10-20,0.00
1977-10-21,0.00
1977-10-22,1.12
1977-10-23,1.12
