yyyy-mm-dd,Daily Adjusted Snowfall [mm]
2008-02-31,-9999.99M
2008-03-01,-9999.99M
2008-03-02,-9999.99M
2008-03-03,-9999.99M
2008-03-04,-9999.99M
2008-03-05,-9999.99M
2008-03-06,-9999.99M
2008-03-07,-9999.99M
2008-03-08,-9999.99M
2008-03-09,-9999.99M
2008-03-10,-9999.99M
2008-03-11,-9999.99M
2008-03-12,-9999.99M
2008-03-13,-9999.99M
2008-03-14,-9999.99M
2008-03-15,-9999.99M
2008-03-16,-9999.99M
2008-03-17,-9999.99M
2008-03-18,-9999.99M
2008-03-19,-9999.99M
2008-03-20,-9999.99M
2008-03-21,-9999.99M
2008-03-22,-9999.99M
2008-03-23,-9999.99M
2008-03-24,-9999.99M
2008-03-25,-9999.99M
2008-03-26,-9999.99M
2008-03-27,-9999.99M
2008-03-28,-9999.99M
2008-03-29,-9999.99M
2008-03-30,-9999.99M
2008-03-31,-9999.99M
2008-04-01,-9999.99M
2008-04-02,-9999.99M
2008-04-03,-9999.99M
2008-04-04,-9999.99M
2008-04-05,-9999.99M
2008-04-06,-9999.99M
2008-04-07,-9999.99M
2008-04-08,-9999.99M
2008-04-09,-9999.99M
2008-04-10,-9999.99M
2008-04-11,-9999.99M
2008-04-12,-9999.99M
2008-04-13,-9999.99M
2008-04-14,-9999.99M
2008-04-15,-9999.99M
2008-04-16,-9999.99M
2008-04-17,-9999.99M
2008-04-18,-9999.99M
2008-04-19,-9999.99M
2008-04-20,-9999.99M
2008-04-21,-9999.99M
2008-04-22,-9999.99M
2008-04-23,-9999.99M
2008-04-24,-9999.99M
2008-04-25,-9999.99M
2008-04-26,-9999.99M
2008-04-27,-9999.99M
2008-04-28,-9999.99M
2008-04-29,-9999.99M
2008-04-30,-9999.99M
2008-04-31,-9999.99M
2008-05-01,-9999.99M
2008-05-02,-9999.99M
2008-05-03,-9999.99M
2008-05-04,-9999.99M
2008-05-05,-9999.99M
2008-05-06,-9999.99M
2008-05-07,-9999.99M
2008-05-08,-9999.99M
2008-05-09,-9999.99M
2008-05-10,-9999.99M
2008-05-11,-9999.99M
2008-05-12,-9999.99M
2008-05-13,-9999.99M
2008-05-14,-9999.99M
2008-05-15,-9999.99M
2008-05-16,-9999.99M
2008-05-17,-9999.99M
2008-05-18,-9999.99M
2008-05-19,-9999.99M
2008-05-20,-9999.99M
2008-05-21,-9999.99M
2008-05-22,-9999.99M
2008-05-23,-9999.99M
2008-05-24,-9999.99M
2008-05-25,-9999.99M
2008-05-26,-9999.99M
2008-05-27,-9999.99M
2008-05-28,-9999.99M
2008-05-29,-9999.99M
2008-05-30,-9999.99M
2008-05-31,-9999.99M
2008-06-01,-9999.99M
2008-06-02,-9999.99M
2008-06-03,-9999.99M
2008-06-04,-9999.99M
2008-06-05,-9999.99M
2008-06-06,-9999.99M
2008-06-07,-9999.99M
2008-06-08,-9999.99M
2008-06-09,-9999.99M
2008-06-10,-9999.99M
2008-06-11,-9999.99M
2008-06-12,-9999.99M
2008-06-13,-9999.99M
2008-06-14,-9999.99M
2008-06-15,-9999.99M
2008-06-16,-9999.99M
2008-06-17,-9999.99M
2008-06-18,-9999.99M
2008-06-19,-9999.99M
2008-06-20,-9999.99M
2008-06-21,-9999.99M
2008-06-22,-9999.99M
2008-06-23,-9999.99M
2008-06-24,-9999.99M
2008-06-25,-9999.99M
2008-06-26,-9999.99M
2008-06-27,-9999.99M
2008-06-28,-9999.99M
2008-06-29,-9999.99M
2008-06-30,-9999.99M
2008-06-31,-9999.99M
2008-07-01,-9999.99M
2008-07-02,-9999.99M
2008-07-03,-9999.99M
2008-07-04,-9999.99M
2008-07-05,-9999.99M
2008-07-06,-9999.99M
2008-07-07,-9999.99M
2008-07-08,-9999.99M
2008-07-09,-9999.99M
2008-07-10,-9999.99M
2008-07-11,-9999.99M
2008-07-12,-9999.99M
2008-07-13,-9999.99M
2008-07-14,-9999.99M
2008-07-15,-9999.99M
2008-07-16,-9999.99M
2008-07-17,-9999.99M
2008-07-18,-9999.99M
2008-07-19,-9999.99M
2008-07-20,-9999.99M
2008-07-21,-9999.99M
2008-07-22,-9999.99M
2008-07-23,-9999.99M
2008-07-24,-9999.99M
2008-07-25,-9999.99M
2008-07-26,-9999.99M
2008-07-27,-9999.99M
2008-07-28,-9999.99M
2008-07-29,-9999.99M
2008-07-30,-9999.99M
2008-07-31,-9999.99M
2008-08-01,-9999.99M
2008-08-02,-9999.99M
2008-08-03,-9999.99M
2008-08-04,-9999.99M
2008-08-05,-9999.99M
2008-08-06,-9999.99M
2008-08-07,-9999.99M
2008-08-08,-9999.99M
2008-08-09,-9999.99M
2008-08-10,-9999.99M
2008-08-11,-9999.99M
2008-08-12,-9999.99M
2008-08-13,-9999.99M
2008-08-14,-9999.99M
2008-08-15,-9999.99M
2008-08-16,-9999.99M
2008-08-17,-9999.99M
2008-08-18,-9999.99M
2008-08-19,-9999.99M
2008-08-20,-9999.99M
2008-08-21,-9999.99M
2008-08-22,-9999.99M
2008-08-23,-9999.99M
2008-08-24,-9999.99M
2008-08-25,-9999.99M
2008-08-26,-9999.99M
2008-08-27,-9999.99M
2008-08-28,-9999.99M
2008-08-29,-9999.99M
2008-08-30,-9999.99M
2008-08-31,-9999.99M
2008-09-01,-9999.99M
2008-09-02,-9999.99M
2008-09-03,-9999.99M
2008-09-04,-9999.99M
2008-09-05,-9999.99M
2008-09-06,-9999.99M
2008-09-07,-9999.99M
2008-09-08,-9999.99M
2008-09-09,-9999.99M
2008-09-10,-9999.99M
2008-09-11,-9999.99M
2008-09-12,-9999.99M
2008-09-13,-9999.99M
2008-09-14,-9999.99M
2008-09-15,-9999.99M
2008-09-16,-9999.99M
2008-09-17,-9999.99M
2008-09-18,-9999.99M
2008-09-19,-9999.99M
2008-09-20,-9999.99M
2008-09-21,-9999.99M
2008-09-22,-9999.99M
2008-09-23,-9999.99M
2008-09-24,-9999.99M
2008-09-25,-9999.99M
2008-09-26,-9999.99M
2008-09-27,-9999.99M
2008-09-28,-9999.99M
2008-09-29,-9999.99M
2008-09-30,-9999.99M
2008-09-31,-9999.99M
2008-10-01,-9999.99M
2008-10-02,-9999.99M
2008-10-03,-9999.99M
2008-10-04,-9999.99M
2008-10-05,-9999.99M
2008-10-06,-9999.99M
2008-10-07,-9999.99M
2008-10-08,-9999.99M
2008-10-09,-9999.99M
2008-10-10,-9999.99M
2008-10-11,-9999.99M
2008-10-12,-9999.99M
2008-10-13,-9999.99M
2008-10-14,-9999.99M
2008-10-15,-9999.99M
2008-10-16,-9999.99M
2008-10-17,-9999.99M
2008-10-18,-9999.99M
2008-10-19,-9999.99M
2008-10-20,-9999.99M
2008-10-21,-9999.99M
2008-10-22,-9999.99M
2008-10-23,-9999.99M
2008-10-24,-9999.99M
2008-10-25,-9999.99M
2008-10-26,-9999.99M
2008-10-27,-9999.99M
2008-10-28,-9999.99M
2008-10-29,-9999.99M
2008-10-30,-9999.99M
2008-10-31,-9999.99M
2008-11-01,-9999.99M
2008-11-02,-9999.99M
2008-11-03,-9999.99M
2008-11-04,-9999.99M
2008-11-05,-9999.99M
2008-11-06,-9999.99M
2008-11-07,-9999.99M
2008-11-08,-9999.99M
2008-11-09,-9999.99M
2008-11-10,-9999.99M
2008-11-11,-9999.99M
2008-11-12,-9999.99M
2008-11-13,-9999.99M
2008-11-14,-9999.99M
2008-11-15,-9999.99M
2008-11-16,-9999.99M
2008-11-17,-9999.99M
2008-11-18,-9999.99M
2008-11-19,-9999.99M
2008-11-20,-9999.99M
2008-11-21,-9999.99M
2008-11-22,-9999.99M
2008-11-23,-9999.99M
2008-11-24,-9999.99M
2008-11-25,-9999.99M
2008-11-26,-9999.99M
2008-11-27,-9999.99M
2008-11-28,-9999.99M
2008-11-29,-9999.99M
2008-11-30,-9999.99M
2008-11-31,-9999.99M
2008-12-01,-9999.99M
2008-12-02,-9999.99M
2008-12-03,-9999.99M
2008-12-04,-9999.99M
2008-12-05,-9999.99M
2008-12-06,-9999.99M
2008-12-07,-9999.99M
2008-12-08,-9999.99M
2008-12-09,-9999.99M
2008-12-10,-9999.99M
2008-12-11,-9999.99M
2008-12-12,-9999.99M
2008-12-13,-9999.99M
2008-12-14,-9999.99M
2008-12-15,-9999.99M
2008-12-16,-9999.99M
2008-12-17,-9999.99M
2008-12-18,-9999.99M
2008-12-19,-9999.99M
2008-12-20,-9999.99M
2008-12-21,-9999.99M
2008-12-22,-9999.99M
2008-12-23,-9999.99M
2008-12-24,-9999.99M
2008-12-25,-9999.99M
2008-12-26,-9999.99M
2008-12-27,-9999.99M
2008-12-28,-9999.99M
2008-12-29,-9999.99M
2008-12-30,-9999.99M
2008-12-31,-9999.99M
2009-01-01,-9999.99M
2009-01-02,-9999.99M
2009-01-03,-9999.99M
2009-01-04,-9999.99M
2009-01-05,-9999.99M
2009-01-06,-9999.99M
2009-01-07,-9999.99M
2009-01-08,-9999.99M
2009-01-09,-9999.99M
2009-01-10,-9999.99M
2009-01-11,-9999.99M
2009-01-12,-9999.99M
2009-01-13,-9999.99M
2009-01-14,-9999.99M
2009-01-15,-9999.99M
2009-01-16,-9999.99M
2009-01-17,-9999.99M
2009-01-18,-9999.99M
2009-01-19,-9999.99M
2009-01-20,-9999.99M
2009-01-21,-9999.99M
2009-01-22,-9999.99M
2009-01-23,-9999.99M
2009-01-24,-9999.99M
2009-01-25,-9999.99M
2009-01-26,-9999.99M
2009-01-27,-9999.99M
2009-01-28,-9999.99M
2009-01-29,-9999.99M
2009-01-30,-9999.99M
2009-01-31,-9999.99M
2009-02-01,-9999.99M
2009-02-02,-9999.99M
2009-02-03,-9999.99M
2009-02-04,-9999.99M
2009-02-05,-9999.99M
2009-02-06,-9999.99M
2009-02-07,-9999.99M
2009-02-08,-9999.99M
2009-02-09,-9999.99M
2009-02-10,-9999.99M
2009-02-11,-9999.99M
2009-02-12,-9999.99M
2009-02-13,-9999.99M
2009-02-14,-9999.99M
2009-02-15,-9999.99M
2009-02-16,-9999.99M
2009-02-17,-9999.99M
2009-02-18,-9999.99M
2009-02-19,-9999.99M
2009-02-20,-9999.99M
2009-02-21,-9999.99M
2009-02-22,-9999.99M
2009-02-23,-9999.99M
2009-02-24,-9999.99M
2009-02-25,-9999.99M
2009-02-26,-9999.99M
2009-02-27,-9999.99M
2009-02-28,-9999.99M
2009-02-29,-9999.99M
2009-02-30,-9999.99M
2009-02-31,-9999.99M
2009-03-01,-9999.99M
2009-03-02,-9999.99M
2009-03-03,-9999.99M
2009-03-04,-9999.99M
2009-03-05,-9999.99M
2009-03-06,-9999.99M
2009-03-07,-9999.99M
2009-03-08,-9999.99M
2009-03-09,-9999.99M
2009-03-10,-9999.99M
2009-03-11,-9999.99M
2009-03-12,-9999.99M
2009-03-13,-9999.99M
2009-03-14,-9999.99M
2009-03-15,-9999.99M
2009-03-16,-9999.99M
2009-03-17,-9999.99M
2009-03-18,-9999.99M
2009-03-19,-9999.99M
2009-03-20,-9999.99M
2009-03-21,-9999.99M
2009-03-22,-9999.99M
2009-03-23,-9999.99M
2009-03-24,-9999.99M
2009-03-25,-9999.99M
2009-03-26,-9999.99M
2009-03-27,-9999.99M
2009-03-28,-9999.99M
2009-03-29,-9999.99M
2009-03-30,-9999.99M
2009-03-31,-9999.99M
2009-04-01,-9999.99M
2009-04-02,-9999.99M
2009-04-03,-9999.99M
2009-04-04,-9999.99M
2009-04-05,-9999.99M
2009-04-06,-9999.99M
2009-04-07,-9999.99M
2009-04-08,-9999.99M
2009-04-09,-9999.99M
2009-04-10,-9999.99M
2009-04-11,-9999.99M
2009-04-12,-9999.99M
2009-04-13,-9999.99M
2009-04-14,-9999.99M
2009-04-15,-9999.99M
2009-04-16,-9999.99M
2009-04-17,-9999.99M
2009-04-18,-9999.99M
2009-04-19,-9999.99M
2009-04-20,-9999.99M
2009-04-21,-9999.99M
2009-04-22,-9999.99M
2009-04-23,-9999.99M
2009-04-24,-9999.99M
2009-04-25,-9999.99M
2009-04-26,-9999.99M
2009-04-27,-9999.99M
2009-04-28,-9999.99M
2009-04-29,-9999.99M
2009-04-30,-9999.99M
2009-04-31,-9999.99M
2009-05-01,-9999.99M
2009-05-02,-9999.99M
2009-05-03,-9999.99M
2009-05-04,-9999.99M
2009-05-05,-9999.99M
2009-05-06,-9999.99M
2009-05-07,-9999.99M
2009-05-08,-9999.99M
2009-05-09,-9999.99M
2009-05-10,-9999.99M
2009-05-11,-9999.99M
2009-05-12,-9999.99M
2009-05-13,-9999.99M
2009-05-14,-9999.99M
2009-05-15,-9999.99M
2009-05-16,-9999.99M
2009-05-17,-9999.99M
2009-05-18,-9999.99M
2009-05-19,-9999.99M
2009-05-20,-9999.99M
2009-05-21,-9999.99M
2009-05-22,-9999.99M
2009-05-23,-9999.99M
2009-05-24,-9999.99M
2009-05-25,-9999.99M
2009-05-26,-9999.99M
2009-05-27,-9999.99M
2009-05-28,-9999.99M
2009-05-29,-9999.99M
2009-05-30,-9999.99M
2009-05-31,-9999.99M
2009-06-01,-9999.99M
2009-06-02,-9999.99M
2009-06-03,-9999.99M
2009-06-04,-9999.99M
2009-06-05,-9999.99M
2009-06-06,-9999.99M
2009-06-07,-9999.99M
2009-06-08,-9999.99M
2009-06-09,-9999.99M
2009-06-10,-9999.99M
2009-06-11,-9999.99M
2009-06-12,-9999.99M
2009-06-13,-9999.99M
2009-06-14,-9999.99M
2009-06-15,-9999.99M
2009-06-16,-9999.99M
2009-06-17,-9999.99M
2009-06-18,-9999.99M
2009-06-19,-9999.99M
2009-06-20,-9999.99M
2009-06-21,-9999.99M
2009-06-22,-9999.99M
2009-06-23,-9999.99M
2009-06-24,-9999.99M
2009-06-25,-9999.99M
2009-06-26,-9999.99M
2009-06-27,-9999.99M
2009-06-28,-9999.99M
2009-06-29,-9999.99M
2009-06-30,-9999.99M
2009-06-31,-9999.99M
2009-07-01,-9999.99M
2009-07-02,-9999.99M
2009-07-03,-9999.99M
2009-07-04,-9999.99M
2009-07-05,-9999.99M
2009-07-06,-9999.99M
2009-07-07,-9999.99M
2009-07-08,-9999.99M
2009-07-09,-9999.99M
2009-07-10,-9999.99M
2009-07-11,-9999.99M
2009-07-12,-9999.99M
2009-07-13,-9999.99M
2009-07-14,-9999.99M
2009-07-15,-9999.99M
2009-07-16,-9999.99M
2009-07-17,-9999.99M
2009-07-18,-9999.99M
2009-07-19,-9999.99M
2009-07-20,-9999.99M
2009-07-21,-9999.99M
2009-07-22,-9999.99M
2009-07-23,-9999.99M
2009-07-24,-9999.99M
2009-07-25,-9999.99M
2009-07-26,-9999.99M
2009-07-27,-9999.99M
2009-07-28,-9999.99M
2009-07-29,-9999.99M
2009-07-30,-9999.99M
2009-07-31,-9999.99M
2009-08-01,-9999.99M
2009-08-02,-9999.99M
2009-08-03,-9999.99M
2009-08-04,-9999.99M
2009-08-05,-9999.99M
2009-08-06,-9999.99M
2009-08-07,-9999.99M
2009-08-08,-9999.99M
2009-08-09,-9999.99M
2009-08-10,-9999.99M
2009-08-11,-9999.99M
2009-08-12,-9999.99M
2009-08-13,-9999.99M
2009-08-14,-9999.99M
2009-08-15,-9999.99M
2009-08-16,-9999.99M
2009-08-17,-9999.99M
2009-08-18,-9999.99M
2009-08-19,-9999.99M
2009-08-20,-9999.99M
2009-08-21,-9999.99M
2009-08-22,-9999.99M
2009-08-23,-9999.99M
2009-08-24,-9999.99M
2009-08-25,-9999.99M
2009-08-26,-9999.99M
2009-08-27,-9999.99M
2009-08-28,-9999.99M
2009-08-29,-9999.99M
2009-08-30,-9999.99M
2009-08-31,-9999.99M
2009-09-01,-9999.99M
2009-09-02,-9999.99M
2009-09-03,-9999.99M
2009-09-04,-9999.99M
2009-09-05,-9999.99M
2009-09-06,-9999.99M
2009-09-07,-9999.99M
2009-09-08,-9999.99M
2009-09-09,-9999.99M
2009-09-10,-9999.99M
2009-09-11,-9999.99M
2009-09-12,-9999.99M
2009-09-13,-9999.99M
2009-09-14,-9999.99M
2009-09-15,-9999.99M
2009-09-16,-9999.99M
2009-09-17,-9999.99M
2009-09-18,-9999.99M
2009-09-19,-9999.99M
2009-09-20,-9999.99M
2009-09-21,-9999.99M
2009-09-22,-9999.99M
2009-09-23,-9999.99M
2009-09-24,-9999.99M
2009-09-25,-9999.99M
2009-09-26,-9999.99M
2009-09-27,-9999.99M
2009-09-28,-9999.99M
2009-09-29,-9999.99M
2009-09-30,-9999.99M
2009-09-31,-9999.99M
2009-10-01,-9999.99M
2009-10-02,-9999.99M
2009-10-03,-9999.99M
2009-10-04,-9999.99M
2009-10-05,-9999.99M
2009-10-06,-9999.99M
2009-10-07,-9999.99M
2009-10-08,-9999.99M
2009-10-09,-9999.99M
2009-10-10,-9999.99M
2009-10-11,-9999.99M
2009-10-12,-9999.99M
2009-10-13,-9999.99M
2009-10-14,-9999.99M
2009-10-15,-9999.99M
2009-10-16,-9999.99M
2009-10-17,-9999.99M
2009-10-18,-9999.99M
2009-10-19,-9999.99M
2009-10-20,-9999.99M
2009-10-21,-9999.99M
2009-10-22,-9999.99M
2009-10-23,-9999.99M
2009-10-24,-9999.99M
2009-10-25,-9999.99M
2009-10-26,-9999.99M
2009-10-27,-9999.99M
2009-10-28,-9999.99M
2009-10-29,-9999.99M
2009-10-30,-9999.99M
2009-10-31,-9999.99M
2009-11-01,-9999.99M
2009-11-02,-9999.99M
2009-11-03,-9999.99M
2009-11-04,-9999.99M
2009-11-05,-9999.99M
2009-11-06,-9999.99M
2009-11-07,-9999.99M
2009-11-08,-9999.99M
2009-11-09,-9999.99M
2009-11-10,-9999.99M
2009-11-11,-9999.99M
2009-11-12,-9999.99M
2009-11-13,-9999.99M
2009-11-14,-9999.99M
2009-11-15,-9999.99M
2009-11-16,-9999.99M
2009-11-17,-9999.99M
2009-11-18,-9999.99M
2009-11-19,-9999.99M
2009-11-20,-9999.99M
2009-11-21,-9999.99M
2009-11-22,-9999.99M
2009-11-23,-9999.99M
2009-11-24,-9999.99M
2009-11-25,-9999.99M
2009-11-26,-9999.99M
2009-11-27,-9999.99M
2009-11-28,-9999.99M
2009-11-29,-9999.99M
2009-11-30,-9999.99M
2009-11-31,-9999.99M
2009-12-01,-9999.99M
2009-12-02,-9999.99M
2009-12-03,-9999.99M
2009-12-04,-9999.99M
2009-12-05,-9999.99M
2009-12-06,-9999.99M
2009-12-07,-9999.99M
2009-12-08,-9999.99M
2009-12-09,-9999.99M
2009-12-10,-9999.99M
2009-12-11,-9999.99M
2009-12-12,-9999.99M
2009-12-13,-9999.99M
2009-12-14,-9999.99M
2009-12-15,-9999.99M
2009-12-16,-9999.99M
2009-12-17,-9999.99M
2009-12-18,-9999.99M
2009-12-19,-9999.99M
2009-12-20,-9999.99M
2009-12-21,-9999.99M
2009-12-22,-9999.99M
2009-12-23,-9999.99M
2009-12-24,-9999.99M
2009-12-25,-9999.99M
2009-12-26,-9999.99M
2009-12-27,-9999.99M
2009-12-28,-9999.99M
2009-12-29,-9999.99M
2009-12-30,-9999.99M
2009-12-31,-9999.99M
2010-01-01,-9999.99M
2010-01-02,-9999.99M
2010-01-03,-9999.99M
2010-01-04,-9999.99M
2010-01-05,-9999.99M
2010-01-06,-9999.99M
2010-01-07,-9999.99M
2010-01-08,-9999.99M
2010-01-09,-9999.99M
2010-01-10,-9999.99M
2010-01-11,-9999.99M
2010-01-12,-9999.99M
2010-01-13,-9999.99M
2010-01-14,-9999.99M
2010-01-15,-9999.99M
2010-01-16,-9999.99M
2010-01-17,-9999.99M
2010-01-18,-9999.99M
2010-01-19,-9999.99M
2010-01-20,-9999.99M
2010-01-21,-9999.99M
2010-01-22,-9999.99M
2010-01-23,-9999.99M
2010-01-24,-9999.99M
2010-01-25,-9999.99M
2010-01-26,-9999.99M
2010-01-27,-9999.99M
2010-01-28,-9999.99M
2010-01-29,-9999.99M
2010-01-30,-9999.99M
2010-01-31,-9999.99M
2010-02-01,-9999.99M
2010-02-02,-9999.99M
2010-02-03,-9999.99M
2010-02-04,-9999.99M
2010-02-05,-9999.99M
2010-02-06,-9999.99M
2010-02-07,-9999.99M
2010-02-08,-9999.99M
2010-02-09,-9999.99M
2010-02-10,-9999.99M
2010-02-11,-9999.99M
2010-02-12,-9999.99M
2010-02-13,-9999.99M
2010-02-14,-9999.99M
2010-02-15,-9999.99M
2010-02-16,-9999.99M
2010-02-17,-9999.99M
2010-02-18,-9999.99M
2010-02-19,-9999.99M
2010-02-20,-9999.99M
2010-02-21,-9999.99M
2010-02-22,-9999.99M
2010-02-23,-9999.99M
2010-02-24,-9999.99M
2010-02-25,-9999.99M
2010-02-26,-9999.99M
2010-02-27,-9999.99M
2010-02-28,-9999.99M
2010-02-29,-9999.99M
2010-02-30,-9999.99M
2010-02-31,-9999.99M
2010-03-01,-9999.99M
2010-03-02,-9999.99M
2010-03-03,-9999.99M
2010-03-04,-9999.99M
2010-03-05,-9999.99M
2010-03-06,-9999.99M
2010-03-07,-9999.99M
2010-03-08,-9999.99M
2010-03-09,-9999.99M
2010-03-10,-9999.99M
2010-03-11,-9999.99M
2010-03-12,-9999.99M
2010-03-13,-9999.99M
2010-03-14,-9999.99M
2010-03-15,-9999.99M
2010-03-16,-9999.99M
2010-03-17,-9999.99M
2010-03-18,-9999.99M
2010-03-19,-9999.99M
2010-03-20,-9999.99M
2010-03-21,-9999.99M
2010-03-22,-9999.99M
2010-03-23,-9999.99M
2010-03-24,-9999.99M
2010-03-25,-9999.99M
2010-03-26,-9999.99M
2010-03-27,-9999.99M
2010-03-28,-9999.99M
2010-03-29,-9999.99M
2010-03-30,-9999.99M
2010-03-31,-9999.99M
2010-04-01,-9999.99M
2010-04-02,-9999.99M
2010-04-03,-9999.99M
2010-04-04,-9999.99M
2010-04-05,-9999.99M
2010-04-06,-9999.99M
2010-04-07,-9999.99M
2010-04-08,-9999.99M
2010-04-09,-9999.99M
2010-04-10,-9999.99M
2010-04-11,-9999.99M
2010-04-12,-9999.99M
2010-04-13,-9999.99M
2010-04-14,-9999.99M
2010-04-15,-9999.99M
2010-04-16,-9999.99M
2010-04-17,-9999.99M
2010-04-18,-9999.99M
2010-04-19,-9999.99M
2010-04-20,-9999.99M
2010-04-21,-9999.99M
2010-04-22,-9999.99M
2010-04-23,-9999.99M
2010-04-24,-9999.99M
2010-04-25,-9999.99M
2010-04-26,-9999.99M
2010-04-27,-9999.99M
2010-04-28,-9999.99M
2010-04-29,-9999.99M
2010-04-30,-9999.99M
2010-04-31,-9999.99M
2010-05-01,-9999.99M
2010-05-02,-9999.99M
2010-05-03,-9999.99M
2010-05-04,-9999.99M
2010-05-05,-9999.99M
2010-05-06,-9999.99M
2010-05-07,-9999.99M
2010-05-08,-9999.99M
2010-05-09,-9999.99M
2010-05-10,-9999.99M
2010-05-11,-9999.99M
2010-05-12,-9999.99M
2010-05-13,-9999.99M
2010-05-14,-9999.99M
2010-05-15,-9999.99M
2010-05-16,-9999.99M
2010-05-17,-9999.99M
2010-05-18,-9999.99M
2010-05-19,-9999.99M
2010-05-20,-9999.99M
2010-05-21,-9999.99M
2010-05-22,-9999.99M
2010-05-23,-9999.99M
2010-05-24,-9999.99M
2010-05-25,-9999.99M
2010-05-26,-9999.99M
2010-05-27,-9999.99M
2010-05-28,-9999.99M
2010-05-29,-9999.99M
2010-05-30,-9999.99M
2010-05-31,-9999.99M
2010-06-01,-9999.99M
2010-06-02,-9999.99M
2010-06-03,-9999.99M
2010-06-04,-9999.99M
2010-06-05,-9999.99M
2010-06-06,-9999.99M
2010-06-07,-9999.99M
2010-06-08,-9999.99M
2010-06-09,-9999.99M
2010-06-10,-9999.99M
2010-06-11,-9999.99M
2010-06-12,-9999.99M
2010-06-13,-9999.99M
2010-06-14,-9999.99M
2010-06-15,-9999.99M
2010-06-16,-9999.99M
2010-06-17,-9999.99M
2010-06-18,-9999.99M
2010-06-19,-9999.99M
2010-06-20,-9999.99M
2010-06-21,-9999.99M
2010-06-22,-9999.99M
2010-06-23,-9999.99M
2010-06-24,-9999.99M
2010-06-25,-9999.99M
2010-06-26,-9999.99M
2010-06-27,-9999.99M
2010-06-28,-9999.99M
2010-06-29,-9999.99M
2010-06-30,-9999.99M
2010-06-31,-9999.99M
2010-07-01,-9999.99M
2010-07-02,-9999.99M
2010-07-03,-9999.99M
2010-07-04,-9999.99M
2010-07-05,-9999.99M
2010-07-06,-9999.99M
2010-07-07,-9999.99M
2010-07-08,-9999.99M
2010-07-09,-9999.99M
2010-07-10,-9999.99M
2010-07-11,-9999.99M
2010-07-12,-9999.99M
2010-07-13,-9999.99M
2010-07-14,-9999.99M
2010-07-15,-9999.99M
2010-07-16,-9999.99M
2010-07-17,-9999.99M
2010-07-18,-9999.99M
2010-07-19,-9999.99M
2010-07-20,-9999.99M
2010-07-21,-9999.99M
2010-07-22,-9999.99M
2010-07-23,-9999.99M
2010-07-24,-9999.99M
2010-07-25,-9999.99M
2010-07-26,-9999.99M
2010-07-27,-9999.99M
2010-07-28,-9999.99M
2010-07-29,-9999.99M
2010-07-30,-9999.99M
2010-07-31,-9999.99M
2010-08-01,-9999.99M
2010-08-02,-9999.99M
2010-08-03,-9999.99M
2010-08-04,-9999.99M
2010-08-05,-9999.99M
2010-08-06,-9999.99M
2010-08-07,-9999.99M
