yyyy-mm-dd,Daily Adjusted Snowfall [mm]
1999-01-29,0.00
1999-01-30,0.00
1999-01-31,0.00
1999-02-01,0.00
1999-02-02,12.20
1999-02-03,0.00
1999-02-04,0.00
1999-02-05,0.00
1999-02-06,0.00
1999-02-07,0.00
1999-02-08,0.00
1999-02-09,0.73
1999-02-10,0.00
1999-02-11,0.00
1999-02-12,0.00
1999-02-13,0.00
1999-02-14,0.00
1999-02-15,0.00
1999-02-16,0.00
1999-02-17,3.66
1999-02-18,12.20
1999-02-19,0.00
1999-02-20,0.00
1999-02-21,0.00
1999-02-22,0.00
1999-02-23,0.00
1999-02-24,0.00
1999-02-25,7.32
1999-02-26,3.66
1999-02-27,0.00
1999-02-28,0.00
1999-02-29,-9999.99M
1999-02-30,-9999.99M
1999-02-31,-9999.99M
1999-03-01,0.00
1999-03-02,0.00
1999-03-03,0.00
1999-03-04,0.00
1999-03-05,0.00
1999-03-06,18.30
1999-03-07,40.26
1999-03-08,1.22
1999-03-09,0.00
1999-03-10,6.10
1999-03-11,0.00
1999-03-12,9.76
1999-03-13,0.11T
1999-03-14,0.00
1999-03-15,34.16
1999-03-16,9.76
1999-03-17,0.00
1999-03-18,21.23
1999-03-19,1.22
1999-03-20,0.00
1999-03-21,0.00
1999-03-22,0.00
1999-03-23,0.00
1999-03-24,0.00
1999-03-25,0.00
1999-03-26,0.00
1999-03-27,0.00
1999-03-28,0.00
1999-03-29,0.00
1999-03-30,0.00
1999-03-31,0.00
1999-04-01,0.00
1999-04-02,0.00
1999-04-03,13.42
1999-04-04,1.22
1999-04-05,0.00
1999-04-06,0.11T
1999-04-07,0.00
1999-04-08,0.00
1999-04-09,0.00
1999-04-10,0.00
1999-04-11,0.00
1999-04-12,0.00
1999-04-13,3.66
1999-04-14,4.88
1999-04-15,1.22
1999-04-16,0.00
1999-04-17,0.00
1999-04-18,0.00
1999-04-19,0.00
1999-04-20,0.00
1999-04-21,0.00
1999-04-22,0.00
1999-04-23,1.22
1999-04-24,0.00
1999-04-25,0.00
1999-04-26,0.00
1999-04-27,0.00
1999-04-28,0.00
1999-04-29,0.00
1999-04-30,0.00
1999-04-31,-9999.99M
1999-05-01,0.00
1999-05-02,0.00
1999-05-03,0.00
1999-05-04,0.00
1999-05-05,0.00
1999-05-06,0.00
1999-05-07,0.00
1999-05-08,0.00
1999-05-09,0.00
1999-05-10,0.00
1999-05-11,0.00
1999-05-12,0.00
1999-05-13,0.00
1999-05-14,0.00
1999-05-15,0.00
1999-05-16,0.00
1999-05-17,0.00
1999-05-18,0.00
1999-05-19,0.00
1999-05-20,0.00
1999-05-21,0.00
1999-05-22,0.00
1999-05-23,0.00
1999-05-24,0.00
1999-05-25,0.00
1999-05-26,0.00
1999-05-27,0.00
1999-05-28,0.00
1999-05-29,0.00
1999-05-30,0.00
1999-05-31,0.00
1999-06-01,0.00
1999-06-02,0.00
1999-06-03,0.00
1999-06-04,0.00
1999-06-05,0.00
1999-06-06,0.00
1999-06-07,0.00
1999-06-08,0.00
1999-06-09,0.00
1999-06-10,0.00
1999-06-11,0.00
1999-06-12,0.00
1999-06-13,0.00
1999-06-14,0.00
1999-06-15,0.00
1999-06-16,0.00
1999-06-17,0.00
1999-06-18,0.00
1999-06-19,0.00
1999-06-20,0.00
1999-06-21,0.00
1999-06-22,0.00
1999-06-23,0.00
1999-06-24,0.00
1999-06-25,0.00
1999-06-26,0.00
1999-06-27,0.00
1999-06-28,0.00
1999-06-29,0.00
1999-06-30,0.00
1999-06-31,-9999.99M
1999-07-01,0.00
1999-07-02,0.00
1999-07-03,0.00
1999-07-04,0.00
1999-07-05,0.00
1999-07-06,0.00
1999-07-07,0.00
1999-07-08,0.00
1999-07-09,0.00
1999-07-10,0.00
1999-07-11,0.00
1999-07-12,0.00
1999-07-13,0.00
1999-07-14,0.00
1999-07-15,0.00
1999-07-16,0.00
1999-07-17,0.00
1999-07-18,0.00
1999-07-19,0.00
1999-07-20,0.00
1999-07-21,0.00
1999-07-22,0.00
1999-07-23,0.00
1999-07-24,0.00
1999-07-25,0.00
1999-07-26,0.00
1999-07-27,0.00
1999-07-28,0.00
1999-07-29,0.00
1999-07-30,0.00
1999-07-31,0.00
1999-08-01,0.00
1999-08-02,0.00
1999-08-03,0.00
1999-08-04,0.00
1999-08-05,0.00
1999-08-06,0.00
1999-08-07,0.00
1999-08-08,0.00
1999-08-09,0.00
1999-08-10,0.00
1999-08-11,0.00
1999-08-12,0.00
1999-08-13,0.00
1999-08-14,0.00
1999-08-15,0.00
1999-08-16,0.00
1999-08-17,0.00
1999-08-18,0.00
1999-08-19,0.00
1999-08-20,0.00
1999-08-21,0.00
1999-08-22,0.00
1999-08-23,0.00
1999-08-24,0.00
1999-08-25,0.00
1999-08-26,0.00
1999-08-27,0.00
1999-08-28,0.00
1999-08-29,0.00
1999-08-30,0.00
1999-08-31,0.00
1999-09-01,0.00
1999-09-02,0.00
1999-09-03,0.00
1999-09-04,0.00
1999-09-05,0.00
1999-09-06,0.00
1999-09-07,0.00
1999-09-08,0.00
1999-09-09,0.00
1999-09-10,0.00
1999-09-11,0.00
1999-09-12,0.00
1999-09-13,0.00
1999-09-14,0.00
1999-09-15,0.00
1999-09-16,0.00
1999-09-17,0.00
1999-09-18,0.00
1999-09-19,0.00
1999-09-20,0.00
1999-09-21,0.00
1999-09-22,0.00
1999-09-23,0.00
1999-09-24,0.00
1999-09-25,0.00
1999-09-26,0.00
1999-09-27,0.00
1999-09-28,0.00
1999-09-29,0.00
1999-09-30,0.00
1999-09-31,-9999.99M
1999-10-01,0.00
1999-10-02,0.00
1999-10-03,0.00
1999-10-04,10.25
1999-10-05,0.00
1999-10-06,0.00
1999-10-07,0.00
1999-10-08,0.00
1999-10-09,0.00
1999-10-10,0.00
1999-10-11,0.00
1999-10-12,0.00
1999-10-13,0.00
1999-10-14,4.88
1999-10-15,0.00
1999-10-16,0.00
1999-10-17,0.00
1999-10-18,0.00
1999-10-19,0.00
1999-10-20,0.00
1999-10-21,0.00
1999-10-22,0.00
1999-10-23,0.00
1999-10-24,0.00
1999-10-25,0.00
1999-10-26,0.00
1999-10-27,0.00
1999-10-28,0.00
1999-10-29,0.00
1999-10-30,0.00
1999-10-31,0.00
1999-11-01,0.00
1999-11-02,0.00
1999-11-03,0.00
1999-11-04,0.00
1999-11-05,0.00
1999-11-06,0.00
1999-11-07,0.00
1999-11-08,0.00
1999-11-09,0.11T
1999-11-10,0.11T
1999-11-11,0.00
1999-11-12,3.90
1999-11-13,0.11T
1999-11-14,0.00
1999-11-15,2.44
1999-11-16,8.54
1999-11-17,0.98
1999-11-18,0.00
1999-11-19,0.00
1999-11-20,0.00
1999-11-21,0.00
1999-11-22,0.00
1999-11-23,0.00
1999-11-24,0.00
1999-11-25,0.00
1999-11-26,0.00
1999-11-27,0.00
1999-11-28,0.11T
1999-11-29,0.49
1999-11-30,0.00
1999-11-31,-9999.99M
1999-12-01,0.00
1999-12-02,0.00
1999-12-03,0.00
1999-12-04,0.00
1999-12-05,0.00
1999-12-06,0.00
1999-12-07,0.00
1999-12-08,0.00
1999-12-09,0.00
1999-12-10,0.00
1999-12-11,0.00
1999-12-12,0.00
1999-12-13,0.00
1999-12-14,0.00
1999-12-15,0.00
1999-12-16,0.00
1999-12-17,0.00
1999-12-18,0.00
1999-12-19,0.00
1999-12-20,1.22
1999-12-21,0.11T
1999-12-22,0.00
1999-12-23,0.00
1999-12-24,0.00
1999-12-25,0.00
1999-12-26,1.22
1999-12-27,0.00
1999-12-28,0.00
1999-12-29,3.90
1999-12-30,4.88
1999-12-31,0.00
2000-01-01,0.11T
2000-01-02,0.00
2000-01-03,2.44
2000-01-04,6.10
2000-01-05,0.00
2000-01-06,1.22
2000-01-07,6.10
2000-01-08,1.22
2000-01-09,0.11T
2000-01-10,8.54
2000-01-11,0.11T
2000-01-12,0.00
2000-01-13,0.00
2000-01-14,0.00
2000-01-15,0.00
2000-01-16,50.02
2000-01-17,2.44
2000-01-18,0.00
2000-01-19,0.00
2000-01-20,0.00
2000-01-21,19.52
2000-01-22,0.11T
2000-01-23,0.00
2000-01-24,0.73
2000-01-25,14.64
2000-01-26,0.00
2000-01-27,0.00
2000-01-28,0.00
2000-01-29,0.00
2000-01-30,0.00
2000-01-31,13.42
2000-02-01,2.44
2000-02-02,0.11T
2000-02-03,0.00
2000-02-04,0.00
2000-02-05,0.00
2000-02-06,0.00
2000-02-07,2.44
2000-02-08,0.00
2000-02-09,0.00
2000-02-10,3.66
2000-02-11,14.64
2000-02-12,0.00
2000-02-13,4.88
2000-02-14,26.84
2000-02-15,0.00
2000-02-16,11.47
2000-02-17,0.00
2000-02-18,0.98
2000-02-19,0.00
2000-02-20,1.22
2000-02-21,0.00
2000-02-22,0.00
2000-02-23,0.00
2000-02-24,0.00
2000-02-25,0.00
2000-02-26,0.00
2000-02-27,0.00
2000-02-28,0.00
2000-02-29,0.00
2000-02-30,-9999.99M
2000-02-31,-9999.99M
2000-03-01,0.00
2000-03-02,14.64
2000-03-03,7.32
2000-03-04,2.44
2000-03-05,1.22
2000-03-06,0.00
2000-03-07,0.00
2000-03-08,0.00
2000-03-09,0.00
2000-03-10,0.00
2000-03-11,13.42
2000-03-12,4.88
2000-03-13,0.00
2000-03-14,0.00
2000-03-15,0.00
2000-03-16,2.20
2000-03-17,2.44
2000-03-18,0.00
2000-03-19,0.00
2000-03-20,0.00
2000-03-21,0.00
2000-03-22,0.00
2000-03-23,0.00
2000-03-24,0.00
2000-03-25,0.00
2000-03-26,0.00
2000-03-27,0.00
2000-03-28,0.00
2000-03-29,0.00
2000-03-30,0.00
2000-03-31,0.00
2000-04-01,0.00
2000-04-02,0.00
2000-04-03,0.00
2000-04-04,0.00
2000-04-05,0.00
2000-04-06,0.00
2000-04-07,0.11T
2000-04-08,3.66
2000-04-09,0.11T
2000-04-10,1.22
2000-04-11,1.22
2000-04-12,5.37
2000-04-13,0.00
2000-04-14,0.00
2000-04-15,0.00
2000-04-16,0.00
2000-04-17,0.00
2000-04-18,0.00
2000-04-19,0.00
2000-04-20,0.00
2000-04-21,0.00
2000-04-22,3.66
2000-04-23,0.00
2000-04-24,0.11T
2000-04-25,0.00
2000-04-26,3.66
2000-04-27,1.22
2000-04-28,0.00
2000-04-29,0.00
2000-04-30,0.00
2000-04-31,-9999.99M
2000-05-01,0.00
2000-05-02,0.00
2000-05-03,0.00
2000-05-04,0.00
2000-05-05,0.00
2000-05-06,0.00
2000-05-07,0.00
2000-05-08,0.00
2000-05-09,0.00
2000-05-10,0.00
2000-05-11,0.00
2000-05-12,0.00
2000-05-13,0.00
2000-05-14,0.00
2000-05-15,0.00
2000-05-16,0.00
2000-05-17,0.00
2000-05-18,0.00
2000-05-19,0.00
2000-05-20,0.00
2000-05-21,0.00
2000-05-22,0.00
2000-05-23,0.00
2000-05-24,0.00
2000-05-25,0.00
2000-05-26,0.00
2000-05-27,0.00
2000-05-28,0.00
2000-05-29,0.00
2000-05-30,0.00
2000-05-31,0.00
2000-06-01,0.00
2000-06-02,0.00
2000-06-03,0.00
2000-06-04,0.00
2000-06-05,0.00
2000-06-06,0.00
2000-06-07,0.00
2000-06-08,0.00
2000-06-09,0.00
2000-06-10,0.00
2000-06-11,0.00
2000-06-12,0.00
2000-06-13,0.00
2000-06-14,0.00
2000-06-15,0.00
2000-06-16,0.00
2000-06-17,0.00
2000-06-18,0.00
2000-06-19,0.00
2000-06-20,0.00
2000-06-21,0.00
2000-06-22,0.00
2000-06-23,0.00
2000-06-24,0.00
2000-06-25,0.00
2000-06-26,0.00
2000-06-27,0.00
2000-06-28,0.00
2000-06-29,0.00
2000-06-30,0.00
2000-06-31,-9999.99M
2000-07-01,0.00
2000-07-02,0.00
2000-07-03,0.00
2000-07-04,0.00
2000-07-05,0.00
2000-07-06,0.00
2000-07-07,0.00
2000-07-08,0.00
2000-07-09,0.00
2000-07-10,0.00
2000-07-11,0.00
2000-07-12,0.00
2000-07-13,0.00
2000-07-14,0.00
2000-07-15,0.00
2000-07-16,0.00
2000-07-17,0.00
2000-07-18,0.00
2000-07-19,0.00
2000-07-20,0.00
2000-07-21,0.00
2000-07-22,0.00
2000-07-23,0.00
2000-07-24,0.00
2000-07-25,0.00
2000-07-26,0.00
2000-07-27,0.00
2000-07-28,0.00
2000-07-29,0.00
2000-07-30,0.00
2000-07-31,0.00
2000-08-01,0.00
2000-08-02,0.00
2000-08-03,0.00
2000-08-04,0.00
2000-08-05,0.00
2000-08-06,0.00
2000-08-07,0.00
2000-08-08,0.00
2000-08-09,0.00
2000-08-10,0.00
2000-08-11,0.00
2000-08-12,0.00
2000-08-13,0.00
2000-08-14,0.00
2000-08-15,0.00
2000-08-16,0.00
2000-08-17,0.00
2000-08-18,0.00
2000-08-19,0.00
2000-08-20,0.00
2000-08-21,0.00
2000-08-22,0.00
2000-08-23,0.00
2000-08-24,0.00
2000-08-25,0.00
2000-08-26,0.00
2000-08-27,0.00
2000-08-28,0.00
2000-08-29,0.00
2000-08-30,0.00
2000-08-31,0.00
2000-09-01,0.00
2000-09-02,0.00
2000-09-03,0.00
2000-09-04,0.00
2000-09-05,0.00
2000-09-06,0.00
2000-09-07,0.00
2000-09-08,0.00
2000-09-09,0.00
2000-09-10,0.00
2000-09-11,0.00
2000-09-12,0.00
2000-09-13,0.00
2000-09-14,0.00
2000-09-15,0.00
2000-09-16,0.00
2000-09-17,0.00
2000-09-18,0.00
2000-09-19,0.00
2000-09-20,0.00
2000-09-21,0.00
2000-09-22,0.00
2000-09-23,0.00
2000-09-24,0.00
2000-09-25,0.00
2000-09-26,0.00
2000-09-27,0.00
2000-09-28,0.00
2000-09-29,0.00
2000-09-30,0.00
2000-09-31,-9999.99M
2000-10-01,0.00
2000-10-02,0.00
2000-10-03,0.00
2000-10-04,0.00
2000-10-05,0.00
2000-10-06,0.00
2000-10-07,0.00
2000-10-08,0.00
2000-10-09,0.00
2000-10-10,2.44
2000-10-11,0.11T
2000-10-12,0.00
2000-10-13,0.00
2000-10-14,0.00
2000-10-15,0.00
2000-10-16,0.00
2000-10-17,0.00
2000-10-18,0.00
2000-10-19,0.00
2000-10-20,0.00
2000-10-21,0.00
2000-10-22,0.00
2000-10-23,0.00
2000-10-24,0.00
2000-10-25,0.00
2000-10-26,0.00
2000-10-27,0.00
2000-10-28,9.76
2000-10-29,6.10
2000-10-30,0.11T
2000-10-31,0.00
2000-11-01,0.00
2000-11-02,0.00
2000-11-03,0.00
2000-11-04,0.00
2000-11-05,0.00
2000-11-06,0.00
2000-11-07,0.00
2000-11-08,0.00
2000-11-09,0.00
2000-11-10,0.00
2000-11-11,0.00
2000-11-12,0.00
2000-11-13,0.00
2000-11-14,0.00
2000-11-15,0.00
2000-11-16,0.00
2000-11-17,0.00
2000-11-18,0.00
2000-11-19,0.00
2000-11-20,2.20
2000-11-21,0.49
2000-11-22,0.11T
2000-11-23,0.11T
2000-11-24,0.00
2000-11-25,0.00
2000-11-26,0.00
2000-11-27,3.66
2000-11-28,1.71
2000-11-29,0.11T
2000-11-30,1.22
2000-11-31,-9999.99M
2000-12-01,0.11T
2000-12-02,0.73
2000-12-03,0.00
2000-12-04,0.00
2000-12-05,1.22
2000-12-06,0.00
2000-12-07,1.22
2000-12-08,0.00
2000-12-09,0.00
2000-12-10,0.00
2000-12-11,0.11T
2000-12-12,0.00
2000-12-13,0.11T
2000-12-14,23.18
2000-12-15,0.00
2000-12-16,2.44
2000-12-17,0.00
2000-12-18,0.00
2000-12-19,6.10
2000-12-20,10.98
2000-12-21,0.00
2000-12-22,0.73
2000-12-23,0.00
2000-12-24,0.11T
2000-12-25,1.22
2000-12-26,2.44
2000-12-27,0.00
2000-12-28,0.00
2000-12-29,0.00
2000-12-30,14.64
2000-12-31,6.10
2001-01-01,0.11T
2001-01-02,0.11T
2001-01-03,0.00
2001-01-04,3.66
2001-01-05,1.22
2001-01-06,18.30
2001-01-07,0.00
2001-01-08,0.49
2001-01-09,2.44
2001-01-10,0.00
2001-01-11,6.10
2001-01-12,0.00
2001-01-13,0.00
2001-01-14,0.00
2001-01-15,3.66
2001-01-16,2.44
2001-01-17,0.11T
2001-01-18,0.00
2001-01-19,7.32
2001-01-20,0.00
2001-01-21,0.00
2001-01-22,0.00
2001-01-23,0.00
2001-01-24,0.73
2001-01-25,0.11T
2001-01-26,0.00
2001-01-27,2.68
2001-01-28,0.00
2001-01-29,0.00
2001-01-30,18.30
2001-01-31,9.76
2001-02-01,2.93
2001-02-02,2.20
2001-02-03,1.22
2001-02-04,0.00
2001-02-05,24.40
2001-02-06,12.20
2001-02-07,1.22
2001-02-08,0.00
2001-02-09,13.42
2001-02-10,0.00
2001-02-11,0.00
2001-02-12,0.00
2001-02-13,0.00
2001-02-14,20.74
2001-02-15,0.00
2001-02-16,2.44
2001-02-17,0.00
2001-02-18,0.00
2001-02-19,3.42
2001-02-20,0.11T
2001-02-21,0.98
2001-02-22,0.49
2001-02-23,1.22
2001-02-24,0.00
2001-02-25,9.76
2001-02-26,3.66
2001-02-27,0.00
2001-02-28,0.00
2001-02-29,-9999.99M
2001-02-30,-9999.99M
2001-02-31,-9999.99M
2001-03-01,0.00
2001-03-02,0.00
2001-03-03,0.00
2001-03-04,0.00
2001-03-05,0.00
2001-03-06,0.00
2001-03-07,0.00
2001-03-08,0.00
2001-03-09,3.66
2001-03-10,25.62
2001-03-11,6.10
2001-03-12,0.00
2001-03-13,10.00
2001-03-14,0.11T
2001-03-15,0.00
2001-03-16,0.00
2001-03-17,0.00
2001-03-18,0.00
2001-03-19,0.00
2001-03-20,0.00
2001-03-21,0.00
2001-03-22,14.64
2001-03-23,23.18
2001-03-24,0.11T
2001-03-25,0.00
2001-03-26,0.00
2001-03-27,0.98
2001-03-28,1.22
2001-03-29,0.00
2001-03-30,9.76
2001-03-31,35.87
2001-04-01,0.73
2001-04-02,5.86
2001-04-03,2.44
2001-04-04,0.00
2001-04-05,0.00
2001-04-06,0.00
2001-04-07,0.00
2001-04-08,1.22
2001-04-09,0.00
2001-04-10,0.00
2001-04-11,0.00
2001-04-12,0.00
2001-04-13,0.98
2001-04-14,0.49
2001-04-15,0.00
2001-04-16,0.00
2001-04-17,0.00
2001-04-18,6.10
2001-04-19,0.00
2001-04-20,0.00
2001-04-21,0.00
2001-04-22,0.00
2001-04-23,0.00
2001-04-24,0.00
2001-04-25,0.00
2001-04-26,0.00
2001-04-27,0.00
2001-04-28,0.00
2001-04-29,0.00
2001-04-30,0.00
2001-04-31,-9999.99M
2001-05-01,0.00
2001-05-02,0.00
2001-05-03,0.00
2001-05-04,0.00
2001-05-05,0.00
2001-05-06,0.00
2001-05-07,0.00
2001-05-08,0.00
2001-05-09,0.00
2001-05-10,0.00
2001-05-11,0.00
2001-05-12,0.00
2001-05-13,0.00
2001-05-14,0.00
2001-05-15,0.00
2001-05-16,0.00
2001-05-17,0.00
2001-05-18,0.00
2001-05-19,0.00
2001-05-20,0.00
2001-05-21,0.00
2001-05-22,0.00
2001-05-23,0.00
2001-05-24,0.00
2001-05-25,0.00
2001-05-26,0.00
2001-05-27,0.00
2001-05-28,0.00
2001-05-29,0.00
2001-05-30,0.00
2001-05-31,0.00
2001-06-01,0.00
2001-06-02,0.00
2001-06-03,0.00
2001-06-04,0.00
2001-06-05,0.00
2001-06-06,0.00
2001-06-07,0.00
2001-06-08,0.00
2001-06-09,0.00
2001-06-10,0.00
2001-06-11,0.00
2001-06-12,0.00
2001-06-13,0.00
2001-06-14,0.00
2001-06-15,0.00
2001-06-16,0.00
2001-06-17,0.00
2001-06-18,0.00
2001-06-19,0.00
2001-06-20,0.00
2001-06-21,0.00
2001-06-22,0.00
2001-06-23,0.00
2001-06-24,0.00
2001-06-25,0.00
2001-06-26,0.00
2001-06-27,0.00
2001-06-28,0.00
2001-06-29,0.00
2001-06-30,0.00
2001-06-31,-9999.99M
2001-07-01,0.00
2001-07-02,0.00
2001-07-03,0.00
2001-07-04,0.00
2001-07-05,0.00
2001-07-06,0.00
2001-07-07,0.00
2001-07-08,0.00
2001-07-09,0.00
2001-07-10,0.00
2001-07-11,0.00
2001-07-12,0.00
2001-07-13,0.00
2001-07-14,0.00
2001-07-15,0.00
2001-07-16,0.00
2001-07-17,0.00
2001-07-18,0.00
2001-07-19,0.00
2001-07-20,0.00
2001-07-21,0.00
2001-07-22,0.00
2001-07-23,0.00
2001-07-24,0.00
2001-07-25,0.00
2001-07-26,0.00
2001-07-27,0.00
2001-07-28,0.00
2001-07-29,0.00
2001-07-30,0.00
2001-07-31,0.00
2001-08-01,0.00
2001-08-02,0.00
2001-08-03,0.00
2001-08-04,0.00
2001-08-05,0.00
2001-08-06,0.00
2001-08-07,0.00
2001-08-08,0.00
2001-08-09,0.00
2001-08-10,0.00
2001-08-11,0.00
2001-08-12,0.00
2001-08-13,0.00
2001-08-14,0.00
2001-08-15,0.00
2001-08-16,0.00
2001-08-17,0.00
2001-08-18,0.00
2001-08-19,0.00
2001-08-20,0.00
2001-08-21,0.00
2001-08-22,0.00
2001-08-23,0.00
2001-08-24,0.00
2001-08-25,0.00
2001-08-26,0.00
2001-08-27,0.00
2001-08-28,0.00
2001-08-29,0.00
2001-08-30,0.00
2001-08-31,0.00
2001-09-01,0.00
2001-09-02,0.00
2001-09-03,0.00
2001-09-04,0.00
2001-09-05,0.00
2001-09-06,0.00
2001-09-07,0.00
2001-09-08,0.00
2001-09-09,0.00
2001-09-10,0.00
2001-09-11,0.00
2001-09-12,0.00
2001-09-13,0.00
2001-09-14,0.00
2001-09-15,0.00
2001-09-16,0.00
2001-09-17,0.00
2001-09-18,0.00
2001-09-19,0.00
2001-09-20,0.00
2001-09-21,0.00
2001-09-22,0.00
2001-09-23,0.00
2001-09-24,0.00
2001-09-25,0.00
2001-09-26,0.00
2001-09-27,0.00
2001-09-28,0.00
2001-09-29,0.00
2001-09-30,0.00
2001-09-31,-9999.99M
2001-10-01,0.00
2001-10-02,0.00
2001-10-03,0.00
2001-10-04,0.00
2001-10-05,0.00
2001-10-06,0.00
2001-10-07,0.00
2001-10-08,0.00
2001-10-09,0.00
2001-10-10,0.00
2001-10-11,0.00
2001-10-12,0.00
2001-10-13,0.00
2001-10-14,0.00
2001-10-15,0.00
2001-10-16,0.00
2001-10-17,0.00
2001-10-18,0.00
2001-10-19,0.00
2001-10-20,0.00
2001-10-21,0.00
2001-10-22,0.00
2001-10-23,0.00
2001-10-24,0.00
2001-10-25,0.00
2001-10-26,0.00
2001-10-27,0.00
2001-10-28,0.00
2001-10-29,0.00
2001-10-30,0.00
2001-10-31,0.00
2001-11-01,0.00
2001-11-02,0.00
2001-11-03,0.00
2001-11-04,0.00
2001-11-05,0.00
2001-11-06,0.00
2001-11-07,0.00
2001-11-08,0.00
2001-11-09,0.00
2001-11-10,6.10
2001-11-11,0.00
2001-11-12,0.00
2001-11-13,2.44
2001-11-14,0.00
2001-11-15,0.00
2001-11-16,0.00
2001-11-17,0.00
2001-11-18,0.00
2001-11-19,0.00
2001-11-20,0.00
2001-11-21,0.00
2001-11-22,0.00
2001-11-23,0.00
2001-11-24,0.00
2001-11-25,0.00
2001-11-26,0.00
2001-11-27,3.66
2001-11-28,0.11T
2001-11-29,17.08
2001-11-30,0.00
2001-11-31,-9999.99M
2001-12-01,0.00
2001-12-02,0.00
2001-12-03,0.00
2001-12-04,3.66
2001-12-05,0.11T
2001-12-06,0.00
2001-12-07,0.00
2001-12-08,0.00
2001-12-09,0.00
2001-12-10,0.00
2001-12-11,0.00
2001-12-12,0.11T
2001-12-13,2.44
2001-12-14,0.00
2001-12-15,0.00
2001-12-16,0.00
2001-12-17,3.66
2001-12-18,1.22
2001-12-19,0.00
2001-12-20,0.49
2001-12-21,0.00
2001-12-22,0.00
2001-12-23,0.00
2001-12-24,0.00
2001-12-25,0.11T
2001-12-26,1.22
2001-12-27,0.11T
2001-12-28,0.00
2001-12-29,0.00
2001-12-30,0.73
2001-12-31,1.22
2002-01-01,0.00
2002-01-02,0.00
2002-01-03,0.11T
2002-01-04,0.00
2002-01-05,0.11T
2002-01-06,15.86
2002-01-07,1.22
2002-01-08,0.00
2002-01-09,7.32
2002-01-10,1.22
2002-01-11,1.22
2002-01-12,1.22
2002-01-13,43.92
2002-01-14,0.11T
2002-01-15,5.61
2002-01-16,0.11T
2002-01-17,8.78
2002-01-18,0.11T
2002-01-19,2.44
2002-01-20,0.00
2002-01-21,13.42
2002-01-22,0.11T
2002-01-23,0.00
2002-01-24,25.62
2002-01-25,0.11T
2002-01-26,3.66
2002-01-27,6.10
2002-01-28,0.00
2002-01-29,0.11T
2002-01-30,2.44
2002-01-31,0.00
2002-02-01,12.20
2002-02-02,0.00
2002-02-03,7.81
2002-02-04,2.44
2002-02-05,0.00
2002-02-06,0.00
2002-02-07,6.10
2002-02-08,0.00
2002-02-09,0.00
2002-02-10,7.32
2002-02-11,3.66
2002-02-12,3.90
2002-02-13,0.00
2002-02-14,0.00
2002-02-15,0.00
2002-02-16,0.00
2002-02-17,0.00
2002-02-18,0.00
2002-02-19,0.00
2002-02-20,0.11T
2002-02-21,0.00
2002-02-22,0.11T
2002-02-23,0.00
2002-02-24,0.11T
2002-02-25,7.32
2002-02-26,0.00
2002-02-27,3.66
2002-02-28,2.44
2002-02-29,-9999.99M
2002-02-30,-9999.99M
2002-02-31,-9999.99M
2002-03-01,0.00
2002-03-02,2.44
2002-03-03,0.00
2002-03-04,0.00
2002-03-05,0.00
2002-03-06,0.00
2002-03-07,0.00
2002-03-08,2.44
2002-03-09,0.00
2002-03-10,0.00
2002-03-11,0.00
2002-03-12,5.37
2002-03-13,0.00
2002-03-14,0.00
2002-03-15,4.88
2002-03-16,0.00
2002-03-17,0.00
2002-03-18,0.00
